UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10000872,BRIDGE COLLEGE,Special Colleges,30,100,0,0,0,0,30,100,0,0,0,0,30,100,0,0,0,0
10000874,BRIDGE TRAINING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000878,BRIDGWATER COLLEGE,General FE College incl Tertiary,3980,1,2,15,14,69,3590,2,8,5,13,71,3020,3,6,8,44,40
10003609,BRIGHT HORIZONS FAMILY SOLUTIONS LIMITED,Private Sector Public Funded,.,.,.,.,.,.,30,0,0,0,0,100,40,0,0,0,100,0
10037945,BRIGHTER FUTURES MERSEYSIDE LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000883,BRIGHTON & HOVE CITY COUNCIL,Other Public Funded,60,100,0,0,0,0,40,0,71,29,0,0,30,40,0,0,60,0
10000887,BRIGHTON HOVE AND SUSSEX SIXTH FORM COLLEGE,Other,20,0,0,100,0,0,30,0,100,0,0,0,20,0,100,0,0,0
10022320,BRINSWORTH TRAINING LIMITED,Private Sector Public Funded,60,0,0,100,0,0,60,0,0,0,100,0,80,0,0,73,28,0
10000896,BRISTOL CITY COUNCIL,Other Public Funded,460,22,51,4,7,16,440,12,17,50,0,21,330,23,45,7,0,25
10033440,BRITISH ARMY,Other Public Funded,9570,0,48,10,11,31,9840,11,13,28,8,40,8590,0,2,13,48,37
10000915,BRITISH GAS SERVICES LIMITED,Private Sector Public Funded,50,0,0,62,0,38,140,0,0,0,81,19,450,100,0,0,0,0
10000929,BRITISH PRINTING INDUSTRIES FEDERATION LTD,Private Sector Public Funded,100,0,0,0,0,100,120,0,80,0,20,0,100,17,0,0,23,60
10027662,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Private Sector Public Funded,920,94,0,6,0,0,550,68,0,25,6,0,600,16,4,0,80,0
10000941,BROADLAND DISTRICT COUNCIL,Other Public Funded,120,0,35,13,10,42,170,20,38,0,6,36,120,0,0,22,39,39
